id,name
BTC,Bitcoin
ETH,Ether
USDT,Tether
ADA,Cardano
DOGE,Dogecoin
SHIB,Shiba Inu
XTZ,Tezos
DOT,Polkadot
AVAX,Avalanche
XRP,XRP
SOL,Solana
ICP,Internet Computer
LTC,Litecoin
BCH,Bitcoin Cash
EOS,EOS
DASH,Dash
OXT,Orchid
MKR,Maker
XLM,Stellar
ENJ,Enjin Coin
ATOM,Cosmos
AXS,Axie Infinity
ETC,Ether Classic
OMG,OMG Network
UST,TerraUSD
ZEC,Zcash
AMP,Amp
LINK,Chainlink
BAT,Basic Attention Token
CHZ,Chiliz
CRO,Crypto.com Coin
STX,Stacks
PAX,Paxos Standard
USDC,USD Coin
QNT,Quant
REP,Augur
ZRX,0x
ALGO,Algorand
ZEN,Horizen
DAI,Dai
GNT,Golem
LPT,Livepeer
1INCH,1Inch
MANA,Decentraland
LOOM,Loom Network
IMX,ImmutableX
KNC,Kyber Network
CVC,Civic
PERP,Perpetual Protocol
VGX,Voyager Token
ENS,Ethereum Name Service
DNT,district0x
DESO,Decentralized Social
SPELL,Spell Token
COMP,Compound
MIR,Mirror Protocol
BAND,Band Protocol
OGN,Origin Token
GALA,Gala
NMR,Numeraire
TRIBE,Tribe
IOTX,IoTeX (ERC-20)
SUPER,SuperFarm
CGLD,Celo
FET,Fetch.ai
UMA,UMA
FORTH,Ampleforth Governance Token
LRC,Loopring
CLV,Clover Finance
FX,Function X
YFI,yearn.finance
FIDA,Bonfida
POLY,Polymath Network
COTI,COTI
UNI,Uniswap
REN,Ren
ORN,Orion Protocol
WBTC,Wrapped Bitcoin
BAL,Balancer
RAD,Radicle
NU,NuCypher
ALCX,Alchemix
YFII,DFI.Money
TRU,TrueFi
FIL,Filecoin
BOND,BarnBridge
CTSI,Cartesi
KEEP,Keep Network
AAVE,Aave
TRAC,OriginTrail
BADGER,Badger DAO
RLC,iExec RLC
GRT,The Graph
BNT,Bancor
AUCTION,Bounce Token
RLY,Rally
NKN,NKN
AGLD,Adventure Gold
POLS,Polkastarter
MLN,Enzyme
SNX,Synthetix
GODS,Gods Unchained
API3,API3
IDEX,IDEX
SUSHI,SushiSwap
MATIC,Polygon
WCFG,Wrapped Centrifuge
GTC,Gitcoin
SKL,SKALE
DDX,DerivaDAO
PRO,Propy
TRB,Tellor
ERN,Ethernity Chain
MASK,Mask Network
POWR,Power Ledger
ANKR,Ankr
RARI,Rarible
XYO,XYO
CRV,Curve DAO Token
BTRST,Braintrust
RGT,Rari Governance Token
STORJ,Storj
MUSD,mStable USD
ORCA,Orca
QUICK,QuickSwap
REQ,Request
LQTY,Liquity
ARPA,ARPA
GST,Green Satoshi Token
SYN,Synapse
HIGH,Highstreet
GAL,Project Galaxy
APE,ApeCoin
BICO,Biconomy
AIOZ,Aioz Network
GMT,STEPN
CRPT,Crypterium
QSP,Quantstamp
GLM,Golem Network
ALICE,My Neighbor Alice
RNDR,Render Token
ROSE,Oasis Network
BUSD,Binance USD
AERGO,Aergo
SNT,Status
MINA,Mina
GFI,Goldfinch
LCX,LCX Token
FARM,Harvest Finance
BLZ,Bluzelle
JASMY,JasmyCoin
MPL,Maple
DIA,DIA
RBN,Ribbon Finance
SUKU,SUKU
WLUNA,Wrapped Luna
RAI,Rai Reflex Index
CTX,Cryptex Finance
ASM,Assemble Protocol
FOX,ShapeShift FOX Token
UNFI,Unifi Protocol DAO
INV,Inverse Finance
KRL,kryll
MDT,Measurable Data Token
COVAL,Circuits of Value
AVT,Aventus
GYEN,GYEN
NCT,Polyswarm
PLU,Pluton
ACH,Alchemy Pay
UPI,Pawtocol
SHPING,Shping
PLA,PlayDapp
MCO2,Moss Carbon Credit
